Address,Discount (100 means free-mint)
0x6c147b33D67A425bc1950Bc7288997E271d6d713,100
0x83f65f5f6e022a84027a1648C20181B44f33B980,100
0x5b83Da4d5F8946516E596d662dab042Bc9969174,100
0xDC38DBBa84a0c375072e387Cc7E100068e3c38C7,100
0x4F943005fd5A1abdEdc2Fd82078ED55527238a6C,100
0x96F565bE504b65c5D441353811eB45a081B31371,100
0xf6882d198C8292Dd204e48444C775a037aed8436,100
0x7046AC1d0b553e94D3CEF0D800f7767B7036C322,100
0xC2Fd3CdCD8761eC42d6fb8Ef33F9b65b092C0a1C,100
0x5C9037edc4b40AEcbb316693F6870A6EAbAbA17A,100
0xBC83E89bee97B89E20835aA168153D2D98DbAa39,100
0x7Ebf8Ac420dA7441dC6F203B8aaF7a9a473636B7,100
0x8a055421fF2B8D38082A0afD5442342f04eA7736,95
0x493946748eF9647a46962B96C6e717e188e1d91a,95
0xA15D2b8ACFf7FEc8e55653635aaaC785881F394C,95
0xD32165a0c19A3590c0397b78a860C8576d71A36A,95
0x3f0C7d4Be781CeCfAE4ec34f4BfA3cdE519bcf04,100
0xe9bd8e3D539d46faB8A5cc61baefd9Ff2d511908,95
0x7b74f2a928c623A21b9446A316A54fbc63291a49,95
0xA567929741918EB54ebbe6F6C17123b34269Fa02,100
0x387Ba495cA3Bf8ff091bA4710aF80CbdfECD80dA,100
0x830aB67c51B8A0958766A8810cC6e0EC2F76b92d,100
0x01C14eF424b23238FD479797925fD21242d1B83A,100
0x90EBc59AD967E04212A6D9183f3fb0460857f7B8,100
0xf9C1A1E9A23572FD11E2d28B761De9CD6f48b2eb,100
0x2CD2C9A012E1938Ad2542487D5e3DbeCE577463C,50
0x3e79411554b896d1ED594bbB8F6F95ae7855aa23,50
0x83208B5A0D462489c7493682F2649B5e28816CFc,50
0x6b94138781772BcbB34FeF5bF6CA3dcFC549fa25,50
0xE055BA1C1CBCc815E51A14d58360cAD3622bA776,50
0x53298FdB136A9F18A12c3de793080D924041cE6F,50
0x0000035d8CA0cE472455ACfF8B5bE3c7A9e0603D,50
0x35b1acb1658775F03056D3BD4bA799dAB2Df3BD8,50
0x9c1F1A275776579Ac74fa01D8687Cb198b91f74D,50
0xea70AA26C59D16E7a650F3a977670Fa0B5867eEF,50
0x959a35EFB1E9284F79aBFB57EF35F36d56181dCc,40
0x7b74f2a928c623A21b9446A316A54fbc63291a49,40
0x7AF6a9FF6a6d48345779ccea71704d6f19623c74,40
0x592436F762D8c4A22054dc2A4751e61FAe67cee3,30
0xBb7f13bB2E444F5574589F2AD649DA85446E3348,30
0x750D4EeeDa1b1d489395F3fECd94b4C162A20364,30
0x38Abea99752103E819CD728df8A5c5b78B6dc95f,30
0xa5F1e2596DC1e878a6a039f41330d9A97c771bE9,100
0x79e8018940749990A93E3Ba943ABAc5270e75510,100
